start	end	text
29	590	You may not know me.
810	5299	Alright, I'm Forsen, the dankest streamer on Twitch, of course.
8495	10155	Well, that's pretty much who I am.
10656	12997	All right, so you stream games for a living?
13297	13477	Yes.
14518	16519	So obviously this is the beginning.
17419	20581	Maybe before... So this is going to be a free conversation.
20641	23743	We will probably jump around from one topic to another.
24443	27745	So, Sebastian, I know that you were a Strayed 8 student.
28625	29606	So Strayed 8.
29966	30566	Pretty much.
30726	35169	I mean, I had two subjects that I had the second best grade in.
35765	36005	Yeah.
36626	41430	And was it because you were not good enough in those subjects or was it something else?
43661	46543	Maybe one of them, one of them was physical education.
46803	53326	I had some asthma growing up, so surprised that the computer nerd with asthma didn't make the best grade.
54747	57608	But the other one was chemistry.
58069	61510	And I think that that was unfair.
61811	65012	A lot of people say that, you know, they had a shitty teacher.
65032	65993	That's why they got their grade.
66053	71316	But, you know, I think my teacher was a substitute teacher that year, actually.
72256	86208	I'm very young, like 24 or something, I don't remember, but I think I corrected him once or twice in a lesson and that was like not the best idea to do, even if it's, you know, correct.
87549	89450	So it ended up being the second best grade.
89770	93474	I don't think he liked me very much, but it is what it is.
94034	101180	So, all right, apart from chemistry and PE, straight A's, what led you to actually go for the straight A's?
103478	105359	Well, I think it was a couple of things.
106340	120786	I played a shit ton of games growing up and I know that a lot of people have these nagging parents where you're not allowed to play games, they will shut off your internet and I've heard all of these stories from friends and whatnot.
123608	129592	My mother said that I could play as much games as I want as long as I have the best grades.
130533	135918	So that was like a deal between us, which worked out very well.
136818	139801	Very little drama revolving my computer gaming.
140281	146066	And also the fact that once I started going for these highest grades, I had, you know,
147446	150329	Friends that also was going for the highest grade.
150409	156415	So it became somewhat of a friendly competition, you know, where the punishment was banter.
157035	167885	If you fucked up a test or report or, you know, so it became, you know, a little bit of both, you know, the fact that you're allowed to play as much games as you want and competition wise.
168806	175219	Would you describe your childhood was then all just studying and gaming?
175499	179868	Yes, I would say exclusively gaming and studying.
182378	186901	But it helps that you're smart, so a bit more gaming than studying.
188321	193144	And in terms of games and gaming, were you also on the top?
193164	194065	Were you also the best?
196126	199348	Yeah, I've always had an easy time with games.
199968	201869	I started playing at a very young age, right?
202309	205731	You had friends who also played games, so it became a lot of gaming.
207673	211218	I figured out that I was pretty good at games and still am.
211739	218088	When you say pretty good at games, what did you feel that you did differently than others that you had?
221308	238600	Well, I think that what it comes down to in games is there are, of course, different genres, but if you want to be good at several genres of games, you have to have a pretty good pattern recognition, logical thinking.
239280	240681	Those are the foundations, I think.
241542	248386	You have to be able to pick up on what works and what doesn't work very fast whenever you're learning a new game genre.
251408	261299	You can be very good at one specific game if you have good reactions or if you're fast with your fingers, you can be good at RTS.
263020	270689	So it depends, but if you want to be good at several games, it has to be logical thinking, I think, which is the most important one.
271189	275514	Alright, so do you remember any unhappy times?
276394	280378	For example here in Stockholm or then later when you moved to Spain?
280899	281640	Unhappy times?
283213	293975	Well, I didn't grow up with... Both of my parents were into real estate.
295035	296676	They worked with real estate quite heavily.
297176	306117	And back in the early 90s, there was a real estate crash where everyone basically lost everything if you were leveraged.
306177	309198	And most people were because the banks were lending out a lot of money.
310622	312490	Four real estate projects and stuff back then.
312670	314880	So growing up,
317522	319183	I didn't have the most money.
321364	323185	Obviously, everything is relative.
323626	329289	I still lived in Sweden, which was lucky, I guess, compared to other countries.
329990	334633	But overall, if you compare it to your surroundings, it wasn't that much.
334813	336294	Which you always do as a person.
336334	337114	Yes, of course.
339035	342478	Would you say that the experience of not having...
344679	345140	Yeah, absolutely.
345160	347422	I mean, I believe that growing up tough skin and being resilient is 10% nature, 9% nurture.
368602	383565	I think you're very heavily affected by your surroundings and obviously if you grow up with little money then your goal is going to be to make a lot of money later in life, right?
383765	388826	You don't want to feel this your entire life, right?
389487	391127	So it makes sense that
392671	394112	I personally had that as a goal.
395132	397474	I didn't have a specific job I wanted to do.
399175	402837	It kept going from whatever job I found out made the most money, you know.
403497	407139	So the goal was always to get rich.
407800	409421	So can you be more specific?
409501	412382	What kind of, you know, jokes were you actually thinking about?
